index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,37.2889535686,127.1076513761,0.000,0.000,1,NORMAL,2.00
1,37.2889554688,127.1076428469,-0.755,0.212,1,NORMAL,2.00
2,37.2889573353,127.1076352117,-1.432,0.419,1,NORMAL,2.00
3,37.2889596352,127.1076265469,-2.199,0.675,1,NORMAL,2.00
4,37.2889620351,127.1076175822,-2.993,0.942,1,NORMAL,2.00
5,37.2889643015,127.1076071793,-3.914,1.195,1,NORMAL,2.00
6,37.2889667012,127.1075977175,-4.752,1.462,1,NORMAL,2.00
7,37.2889692011,127.1075866793,-5.730,1.740,1,NORMAL,2.00
8,37.2889712676,127.1075769146,-6.595,1.970,1,NORMAL,2.00
9,37.2889735342,127.1075663440,-7.531,2.223,1,NORMAL,2.00
10,37.2889750673,127.1075561822,-8.431,2.393,1,NORMAL,2.00
11,37.2889777009,127.1075465909,-9.280,2.686,1,NORMAL,2.00
12,37.2889807678,127.1075347880,-10.326,3.028,1,NORMAL,2.00
13,37.2889837345,127.1075230822,-11.362,3.358,1,NORMAL,2.00
14,37.2889867013,127.1075096647,-12.551,3.688,1,NORMAL,2.00
15,37.2889892679,127.1074991618,-13.481,3.974,1,NORMAL,2.00
16,37.2889914011,127.1074900324,-14.289,4.212,1,NORMAL,2.00
17,37.2889935678,127.1074806324,-15.122,4.453,1,NORMAL,2.00
18,37.2889960010,127.1074712705,-15.951,4.724,1,NORMAL,2.00
19,37.2889986010,127.1074604353,-16.911,5.013,1,NORMAL,2.00
20,37.2890009343,127.1074508382,-17.761,5.273,1,NORMAL,2.00
21,37.2890033674,127.1074411735,-18.617,5.544,1,NORMAL,2.00
22,37.2890065008,127.1074295000,-19.650,5.892,1,NORMAL,2.00
23,37.2890093008,127.1074186265,-20.613,6.204,1,NORMAL,2.00
24,37.2890122342,127.1074099676,-21.380,6.531,1,NORMAL,2.00
25,37.2890148675,127.1073999324,-22.269,6.824,1,NORMAL,2.00
26,37.2890172675,127.1073918706,-22.983,7.091,1,NORMAL,2.00
27,37.2890203675,127.1073823676,-23.825,7.436,1,NORMAL,2.00
28,37.2890223006,127.1073744087,-24.530,7.651,1,NORMAL,2.00
29,37.2890239004,127.1073694997,-24.964,7.829,1,NORMAL,2.00
30,37.2890256996,127.1073654207,-25.326,8.030,1,NORMAL,2.00
